seed,domain,completed,lstm_f1_at_opt,lstm_roc_auc,lstm_pr_auc,lstm_precision,lstm_recall,lstm_threshold,gat_f1_at_opt,gat_roc_auc,gat_pr_auc,gat_precision,gat_recall,gat_threshold,ens_f1_at_opt,ens_roc_auc,ens_pr_auc,ens_precision,ens_recall,ens_threshold,bwt
42,synthetic,True,0.8744493392070485,0.9196666705141632,0.9585569603518835,0.8775718415235504,0.8713489785581631,0.26,0.7722719380259115,0.6307755395728363,0.7517533108647049,0.6371349862258954,0.9801661298525174,0.45,0.8717472118959108,0.9169161833330757,0.9551827259221558,0.8724843565026213,0.8710113118352186,0.36,0.0
42,real,True,0.9059496082998094,0.7798098807574043,0.9490560282289299,0.8280693605821334,1.0,0.05,0.7702454613449378,0.6656259979802135,0.8145083563664034,0.6263408161008515,1.0,0.05,0.9059496082998094,0.7798098807574043,0.9490560282289299,0.8280693605821334,1.0,0.05,0.0
42,bitbrains,True,0.9578898658028691,0.9574320651239174,0.9716530384023283,0.9231839588982446,0.9953071508250952,0.05,0.8743069795701375,0.5939733975213569,0.8237258131797378,0.7766833085953313,1.0,0.05,0.9578898658028691,0.9574320651239174,0.9716530384023283,0.9231839588982446,0.9953071508250952,0.05,0.0
52,synthetic,True,0.9176511466296039,0.9560915903047884,0.9784712385009571,0.9428775437343806,0.8937394247038917,0.3,0.8310875842155919,0.8698439811088552,0.9279334715334681,0.7890648796832166,0.8778380210098272,0.36,0.8972461273666092,0.9368886837922371,0.9668214841671129,0.9129597197898424,0.8820642978003385,0.39,0.0
52,real,True,0.9093049620650563,0.8252976035015015,0.9434897998733187,0.8520879300482145,0.9747592783023278,0.42,0.7641095890410959,0.6890583165314697,0.8203013822953502,0.6190211963156143,0.9980318482733942,0.39,0.9093049620650563,0.8252976035015015,0.9434897998733187,0.8520879300482145,0.9747592783023278,0.42,0.0
52,bitbrains,True,0.9608430930791144,0.9645552198927854,0.9775826650582942,0.9311439913388668,0.9924991345155211,0.23,0.8700625285953942,0.544995705792491,0.8041509052525014,0.7702173619549075,0.9996495531803049,0.43,0.9608430930791144,0.9645552198927854,0.9775826650582942,0.9311439913388668,0.9924991345155211,0.23,0.0
62,synthetic,True,0.9165389201158235,0.9527568596602414,0.9776383442692346,0.9355006954102921,0.898330550918197,0.25,0.836245631552671,0.8763981369044098,0.9301503203965376,0.822287677957781,0.8506856272219401,0.36,0.8906848149723522,0.929690251847614,0.9645261132959562,0.9080659150043365,0.8739565943238731,0.37,0.0
62,real,True,0.908036959553696,0.8060270720177765,0.9366218587177564,0.8505756511798808,0.9738244367579695,0.4,0.7648312366811026,0.7185999835739603,0.838065064927616,0.6208012498605067,0.9958825635517364,0.36,0.908036959553696,0.8060270720177765,0.9366218587177564,0.8505756511798808,0.9738244367579695,0.4,0.0
62,bitbrains,True,0.9610607586438402,0.9635948479333205,0.9770226167115802,0.9327420814479638,0.9911528253259991,0.21,0.8807491881277849,0.585965670174037,0.8302790268980762,0.7869095816464238,1.0,0.43,0.9610607586438402,0.9635948479333205,0.9770226167115802,0.9327420814479638,0.9911528253259991,0.21,0.0
72,synthetic,True,0.9186619120393955,0.9571950150101809,0.9792339020222922,0.9300326628846485,0.9075658446569368,0.3,0.8487127094401308,0.8904920643790123,0.9407957369711132,0.8211292108176499,0.878213802435724,0.35,0.9003740224413465,0.938007564694828,0.9644771622346241,0.9126313975529898,0.8884415366549236,0.4,0.0
72,real,True,0.9098432055749129,0.8277447964240481,0.9436140457305318,0.8517491641523282,0.9764419930821726,0.42,0.7719989136338946,0.6860887480140365,0.8271342158230306,0.6286630542961407,1.0,0.32,0.9098432055749129,0.8277447964240481,0.9436140457305318,0.8517491641523282,0.9764419930821726,0.42,0.0
72,bitbrains,True,0.9601123284128069,0.9636689204033766,0.9770296192871443,0.9237113402061856,0.9994999423010348,0.21,0.8777163625350193,0.5819099111803379,0.8234216476862648,0.7820806908649305,1.0,0.05,0.9601123284128069,0.9636689204033766,0.9770296192871443,0.9237113402061856,0.9994999423010348,0.21,0.0
82,synthetic,True,0.9177918304563323,0.9551547008170007,0.978076674608312,0.9319680666435266,0.9040404040404041,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.9177918304563323,0.9551547008170007,0.978076674608312,0.9319680666435266,0.9040404040404041,0.25,0.0
82,real,True,0.9090204854536065,0.8198091029153629,0.9434485927454468,0.842252173219555,0.987286154996728,0.41,0.767896174863388,0.6851046375434275,0.819328059111077,0.6245555555555555,0.9966312056737588,0.45,0.9090204854536065,0.8198091029153629,0.9434485927454468,0.842252173219555,0.987286154996728,0.41,0.0
82,bitbrains,True,0.9637348119755131,0.9681576278270652,0.9793698626139318,0.9333597635695235,0.9961534023156519,0.21,0.877801332525742,0.597659367031488,0.834222964017337,0.7822156254216704,1.0,0.05,0.9637348119755131,0.9681576278270652,0.9793698626139318,0.9333597635695235,0.9961534023156519,0.21,0.0
92,synthetic,True,0.9144233250193515,0.9553876607200442,0.9784244144213419,0.9375661375661376,0.8923955010911533,0.28,0.836861559139785,0.8762514570629121,0.9340602369281205,0.8418117289166808,0.8319692667446134,0.37,0.8935415787252005,0.935689439225705,0.9667450814599274,0.8987771739130435,0.8883666274970623,0.36,0.0
92,real,True,0.9085644085644086,0.8132494490180311,0.9416772274125307,0.8560562215791649,0.9679349350285127,0.4,0.7691992906833993,0.7084871768789986,0.8366502655026354,0.6257212605415002,0.9980530973451327,0.37,0.9085644085644086,0.8132494490180311,0.9416772274125307,0.8560562215791649,0.9679349350285127,0.4,0.0
92,bitbrains,True,0.9596064215432418,0.9626183765734128,0.9763498480606858,0.9241566028997898,0.9978843712736085,0.2,0.8776313796759049,0.6101642106117809,0.8413002022505387,0.782051282051282,0.9998274672187716,0.47,0.9596064215432418,0.9626183765734128,0.9763498480606858,0.9241566028997898,0.9978843712736085,0.2,0.0
102,synthetic,True,0.9137402574656275,0.953442676600661,0.9774526343941459,0.950792782941498,0.8794672960215779,0.31,0.8391269199676638,0.8822423204304656,0.9351866391221351,0.805150480918399,0.8760972316002701,0.34,0.8895070851082326,0.9311773631998158,0.9642978541003929,0.9183270507987794,0.8624409979770735,0.4,0.0
102,real,True,0.9095596133190118,0.8288250624409752,0.9438923713614613,0.8415487358880586,0.9895297747031878,0.42,0.7670597859431454,0.6914492333509106,0.8268895882156133,0.6222074762220747,0.9998222854096321,0.34,0.9095596133190118,0.8288250624409752,0.9438923713614613,0.8415487358880586,0.9895297747031878,0.42,0.0
102,bitbrains,True,0.9617461996770421,0.9636396893742593,0.9770062614320324,0.9292682926829269,0.9965765280609301,0.21,0.8755501593565033,0.5896256245663284,0.8232889139218574,0.7787526997840173,0.9998266897746967,0.44,0.9617461996770421,0.9636396893742593,0.9770062614320324,0.9292682926829269,0.9965765280609301,0.21,0.0
112,synthetic,True,0.9133614385270584,0.9543969081999248,0.9776024902335952,0.9322093431682473,0.8952605835722719,0.28,0.8317307692307693,0.8701311397234144,0.9278876178883217,0.7863636363636364,0.8826530612244898,0.35,0.8931099982731825,0.9331925169448064,0.9644260773557205,0.9149124358747568,0.8723224827120931,0.4,0.0
112,real,True,0.9087061668681983,0.7968464734691676,0.9350625220829405,0.844449795328678,0.9835467888192951,0.4,0.773487423521414,0.6957564052140099,0.8304321078735007,0.6319004776185716,0.996845978622744,0.5,0.9087061668681983,0.7968464734691676,0.9350625220829405,0.844449795328678,0.9835467888192951,0.4,0.0
112,bitbrains,True,0.9609534031607387,0.962818591187642,0.9766943089859946,0.9259298883777326,0.9987306227641651,0.18,0.8795645271036516,0.5702981547190927,0.8378629388022519,0.7851261978674585,0.9998281196287384,0.46,0.9609534031607387,0.962818591187642,0.9766943089859946,0.9259298883777326,0.9987306227641651,0.18,0.0
122,synthetic,True,0.9186500888099467,0.9594026458331736,0.9795685290044628,0.9579551768846083,0.8824432690667121,0.39,0.8509571177798211,0.8927116006051178,0.9412462408030995,0.8403500082549117,0.8618354216051473,0.31,0.8991979584396645,0.929689776735309,0.956306190568348,0.9651731559381725,0.8416652448387647,0.58,0.0
122,real,True,0.9096393329598828,0.8155857531495553,0.9392982227916177,0.8437250199840128,0.9867252500701131,0.4,0.7650325677065478,0.6952487192841984,0.8267333372237928,0.6204403914590747,0.9974968710888611,0.24,0.9096393329598828,0.8155857531495553,0.9392982227916177,0.8437250199840128,0.9867252500701131,0.4,0.0
122,bitbrains,True,0.9586453683550374,0.9575135976314462,0.9730573515612633,0.9209341886097033,0.9995768742547217,0.1,0.8757584951456311,0.6469611282533507,0.8417880283257746,0.7789771960599109,1.0,0.05,0.9586453683550374,0.9575135976314462,0.9730573515612633,0.9209341886097033,0.9995768742547217,0.1,0.0
132,synthetic,True,0.9227102485529451,0.9623406711680464,0.9812028526203763,0.9295146630080604,0.9160047321277675,0.32,0.8214704273771388,0.8576009660493635,0.9198065936045088,0.7606713934307625,0.8928328804347826,0.4,0.9091214513690576,0.947980659387578,0.966889777568473,0.903656703957255,0.9146526956227818,0.39,0.0
132,real,True,0.908534218810643,0.8198721131716395,0.9432574354400712,0.8432596861991675,0.9847620828269609,0.39,0.7694612817544099,0.7037852313506696,0.83366870798271,0.6258586306226457,0.998585822874315,0.35,0.908534218810643,0.8198721131716395,0.9432574354400712,0.8432596861991675,0.9847620828269609,0.39,0.0
132,bitbrains,True,0.9614458723750973,0.9636899790621165,0.9770910425377224,0.9269773254775933,0.9985767588567912,0.2,0.8707856598016781,0.5835817776744432,0.8214301929083745,0.7764929941504557,0.9911442958847022,0.05,0.9614458723750973,0.9636899790621165,0.9770910425377224,0.9269773254775933,0.9985767588567912,0.2,0.0
